__table,id,name,description,createdAt,updatedAt,email,password,phone,avatar,roleId,isActive,lastLoginAt,address,city,state,zipCode,country,latitude,longitude,code,capacity,managerId,sku,imageUrl,categoryId,unit,weight,dimensions,price,warehouseId,productId,quantity,reservedQuantity,minStock,maxStock,reorderPoint,lastRestockedAt,type,referenceType,referenceId,notes,performedBy,batchNumber,inventoryId,receiptDate,expiryDate,locationLabel,status,createdBy,orderNumber,customerId,shippingName,shippingPhone,shippingAddress,shippingCity,shippingState,shippingZipCode,shippingCountry,shippingLatitude,shippingLongitude,billingName,billingAddress,billingCity,billingState,billingZipCode,billingCountry,priority,subtotal,tax,shippingCost,discount,totalAmount,paymentStatus,paymentMethod,specialInstructions,confirmedAt,processedAt,shippedAt,deliveryDate,deliveredAt,cancelledAt,orderId,unitPrice,totalPrice,licensePlate,make,model,year,color,volume,fuelType,mileage,lastMaintenance,nextMaintenance,userId,licenseNumber,licenseType,licenseExpiry,emergencyContact,rating,totalDeliveries,hiredAt,driverId,vehicleId,assignedAt,tripNumber,startLocation,startLatitude,startLongitude,endLocation,endLatitude,endLongitude,totalDistance,estimatedTime,actualTime,plannedStartAt,plannedEndAt,actualStartAt,actualEndAt,totalDropPoints,completedDropPoints,tripId,dropPointType,sequence,locationName,contactName,contactPhone,plannedArrival,plannedDeparture,actualArrival,actualDeparture,recipientName,recipientSignature,deliveryPhoto,failureReason,failureNotes,speed,heading,altitude,accuracy,battery,recordedAt,subject,message,response,respondedAt,respondedBy,action,entityType,entityId,oldValue,newValue,ipAddress,userAgent
Customer,cmnd79svp000df854pzrgq08q,Jane Doe,,2026-03-30T13:04:38.773Z,2026-03-30T13:04:38.773Z,jane.doe@example.com,$2b$12$bo2UuG3gxe5aoigOh4JsL.1XA3VtbzF9WLVvIuSR0m.ehHnyqfE7C,+1-555-0201,,,true,,456 Oak Avenue,Los Angeles,CA,90001,USA,34.0522,-118.2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse,cmnd79svx000ef854zezvp9zj,Main Distribution Center,,2026-03-30T13:04:38.781Z,2026-04-02T11:04:28.272Z,,,,,,true,,1000 Industrial Blvd,Newark,NJ,07102,USA,40.7328,-74.1745,WH-MAIN,10000,cmnd79sup0009f854u2mfz7xy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,cmnljyz280000f824jn4g4c50,Coke,,2026-04-05T09:22:17.984Z,2026-04-05T09:22:17.984Z,,,,,,true,,,,,,,,,,,,COK-001,/uploads/products/product-1775380937956-sfogcg.png,,case,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,cmnmml6hb0000f8d8cljhw8lz,mt dew,soft drinks,2026-04-06T03:23:19.439Z,2026-04-06T03:23:35.309Z,,,,,,true,,,,,,,,,,,,MTDEW-001,/uploads/products/product-1775445813544-0rf04i.png,,piece,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory,cmnljyz2v0002f824tz7lg6kv,,,2026-04-05T09:22:18.007Z,2026-04-05T09:22:18.007Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,cmnljyz280000f824jn4g4c50,800,0,90,100,20,2026-04-05T09:22:18.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory,cmnmml6i10002f8d88j7z1rbl,,,2026-04-06T03:23:19.466Z,2026-04-06T03:23:38.925Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,cmnmml6hb0000f8d8cljhw8lz,300,0,90,100,20,2026-04-06T03:23:19.462Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InventoryTransaction,cmnljyz3g0004f82485sjj0n3,,,2026-04-05T09:22:18.028Z,,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,cmnljyz280000f824jn4g4c50,800,,,,,,IN,stock_batch,,Stock-in batch received,cmnd79sup0009f854u2mfz7xy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InventoryTransaction,cmnmml6it0004f8d8e81q0wf7,,,2026-04-06T03:23:19.494Z,,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,cmnmml6hb0000f8d8cljhw8lz,300,,,,,,IN,stock_batch,,Stock-in batch received,cmnd79sup0009f854u2mfz7xy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockBatch,cmnljyz3w0006f8243eky4uc6,,,2026-04-05T09:22:18.044Z,2026-04-05T09:22:18.044Z,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,COK0-2026-001,cmnljyz2v0002f824tz7lg6kv,2026-04-05T09:22:18.039Z,2026-09-30T00:00:00.000Z,WH-MAIN,ACTIVE,cmnd79sup0009f854u2mfz7xy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockBatch,cmnmml6jm0006f8d8pxabr9tc,,,2026-04-06T03:23:19.523Z,2026-04-06T03:23:19.523Z,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,MTDE-2026-002,cmnmml6i10002f8d88j7z1rbl,2026-04-06T03:23:19.514Z,2026-04-15T00:00:00.000Z,WH-MAIN,ACTIVE,cmnd79sup0009f854u2mfz7xy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,cmnlv88z20001f87sjf1i65f7,,,2026-04-05T14:37:26.507Z,2026-04-05T15:02:26.905Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,,,,,,,,OUT_FOR_DELIVERY,,ORD-2026-0001,cmnd79sve000cf854b07akqcy,John Smith,9460056944,"N/A, Consolacion Road, Guinhalaran, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,Philippines,10.7861262,122.9743197,,,,,,,normal,828,66.24,0,0,894.24,pending,COD,,2026-04-05T14:37:45.466Z,2026-04-05T14:37:45.466Z,2026-04-05T15:02:26.888Z,2026-04-06T14:37:26.500Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,cmnlvgdlk0005f87s7il3khch,,,2026-04-05T14:43:45.752Z,2026-04-05T15:02:26.905Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,,,,,,,,OUT_FOR_DELIVERY,,ORD-2026-0002,cmnd79sve000cf854b07akqcy,John Smith,9460056944,"N/A, Langka Street, Guinhalaran, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,Philippines,10.78787156570303,122.9755274366811,,,,,,,normal,621,49.68,0,0,670.68,pending,COD,,2026-04-05T14:47:13.944Z,2026-04-05T14:47:13.944Z,2026-04-05T15:02:26.888Z,2026-04-06T14:43:45.749Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,cmnlvgmns0009f87sam0b6i5m,,,2026-04-05T14:43:57.496Z,2026-04-05T15:02:26.905Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,,,,,,,,OUT_FOR_DELIVERY,,ORD-2026-0003,cmnd79sve000cf854b07akqcy,John Smith,9460056944,"N/A, Langka Street, Guinhalaran, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,Philippines,10.78787156570303,122.9755274366811,,,,,,,normal,1035,82.8,0,0,1117.8,pending,COD,,2026-04-05T14:47:23.600Z,2026-04-05T14:47:23.600Z,2026-04-05T15:02:26.888Z,2026-04-06T14:43:57.492Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,cmnlvha0l000df87s2tr92kq0,,,2026-04-05T14:44:27.764Z,2026-04-05T15:51:39.422Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,,,,,,,,DELIVERED,,ORD-2026-0004,cmnd79sve000cf854b07akqcy,John Smith,9460056944,"N/A, Zulueta Street, Poblacion, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,Philippines,10.79892737393843,122.9754800848129,,,,,,,normal,1035,82.8,0,0,1117.8,pending,COD,,2026-04-05T14:47:26.102Z,2026-04-05T14:47:26.102Z,2026-04-05T15:02:26.888Z,2026-04-06T14:44:27.759Z,2026-04-05T15:51:39.409Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,cmnmmmpri0008f8d8i1ql2pnk,,,2026-04-06T03:24:31.086Z,2026-04-06T03:30:09.020Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,,,,,,,,DELIVERED,,ORD-2026-0005,cmnd79sve000cf854b07akqcy,John Smith,9460056944,"N/A, Zulueta Street, Poblacion, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,Philippines,10.79892737393843,122.9754800848129,,,,,,,normal,1035,82.8,0,0,1117.8,pending,COD,,2026-04-06T03:24:45.276Z,2026-04-06T03:24:45.276Z,2026-04-06T03:29:48.859Z,2026-04-07T00:00:00.000Z,2026-04-06T03:30:09.003Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,cmnmmqofq000cf8d80pl8xpeb,,,2026-04-06T03:27:35.991Z,2026-04-06T03:29:48.921Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,,,,,,,,OUT_FOR_DELIVERY,,ORD-2026-0006,cmnd79sve000cf854b07akqcy,John Smith,9460056944,"Burgos Street, Barangay I, Bugbog, Sibunag, Sibunag, Guimaras, 5048, Philippines",Sibunag,Guimaras,5048,Philippines,10.4977743,122.6628983,,,,,,,normal,414,33.12,0,0,447.12,pending,COD,,2026-04-06T03:28:22.187Z,2026-04-06T03:28:22.187Z,2026-04-06T03:29:48.859Z,2026-04-07T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,cmnmmrc0x000gf8d8au9ws3zm,,,2026-04-06T03:28:06.561Z,2026-04-06T03:29:48.921Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,,,,,,,,OUT_FOR_DELIVERY,,ORD-2026-0007,cmnd79sve000cf854b07akqcy,John Smith,9460056944,"Burgos Street, Guimaras Circumferential Road, Bugbog, Bugbog, Sibunag, Guimaras, 5048, Philippines",Sibunag,Guimaras,5048,Philippines,10.49786202558503,122.6653343818071,,,,,,,normal,50,4,0,0,54,pending,COD,,2026-04-06T03:28:23.971Z,2026-04-06T03:28:23.971Z,2026-04-06T03:29:48.859Z,2026-04-07T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderItem,cmnlv88z30003f87s72cl8kc5,,,2026-04-05T14:37:26.507Z,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnljyz280000f824jn4g4c50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlv88z20001f87sjf1i65f7,207,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderItem,cmnlvgdlk0007f87s4zmf73lt,,,2026-04-05T14:43:45.752Z,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnljyz280000f824jn4g4c50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvgdlk0005f87s7il3khch,207,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderItem,cmnlvgmns000bf87s4mvnno2b,,,2026-04-05T14:43:57.496Z,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnljyz280000f824jn4g4c50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvgmns0009f87sam0b6i5m,207,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderItem,cmnlvha0l000ff87shbov43ag,,,2026-04-05T14:44:27.764Z,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnljyz280000f824jn4g4c50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvha0l000df87s2tr92kq0,207,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderItem,cmnmmmpri000af8d8dlmphjl2,,,2026-04-06T03:24:31.086Z,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnljyz280000f824jn4g4c50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmmpri0008f8d8i1ql2pnk,207,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderItem,cmnmmqofr000ef8d87hqd76lv,,,2026-04-06T03:27:35.991Z,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnljyz280000f824jn4g4c50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmqofq000cf8d80pl8xpeb,207,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderItem,cmnmmrc0y000if8d8w40kkdt1,,,2026-04-06T03:28:06.561Z,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmml6hb0000f8d8cljhw8lz,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmrc0x000gf8d8au9ws3zm,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,cmnlvtway000gf87s0s1olmt0,,,2026-04-05T14:54:16.523Z,2026-04-05T14:54:16.523Z,,,,,,true,,,,,,,,,,800,,,,,,,,,,,,,,,,,TRUCK,,,,,,,,,,IN_USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qbc-123,FORD,SHWS,2024,,,Diesel,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,cmnd79sz3000zf854qf5cv2tn,,,2026-03-30T13:04:38.895Z,2026-04-02T17:09:07.760Z,,,09460056944,,,true,,789 Driver Lane,New York,NY,10002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79sv1000bf854bj1bchiv,DL-NY-12345,B,2025-12-31T00:00:00.000Z,,4.8,156,2026-03-30T13:04:38.895Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,cmnicdvh30004f8gox8wfxahu,,,2026-04-03T03:26:37.719Z,2026-04-05T11:16:56.411Z,,,09637933499,,,true,,Hda. Tionko,Silay,Philippines,6116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvgq0002f8golecf7ypi,DEMO-DRIVER-CF7YPI,B,2030-09-05T00:00:00.000Z,,5,0,2026-04-03T03:26:37.719Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DriverVehicle,cmnlvtwe9000if87s5vcq7t6x,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,cmnlvtway000gf87s0s1olmt0,2026-04-05T14:54:16.641Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trip,cmnlvuk3q000kf87s5yjtomfp,,,2026-04-05T14:54:47.366Z,2026-04-05T16:05:03.855Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,Auto-routed by city (Silay) for 2026-04-06. Sequence nearest-to-farthest from warehouse.,,,,,,,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,cmnlvtway000gf87s0s1olmt0,,TRP-2026-0001,Main Distribution Center,40.7328,-74.1745,,,,,,,2026-04-05T14:54:47.360Z,,2026-04-05T15:02:26.888Z,2026-04-05T16:05:03.833Z,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trip,cmnmmt5rx000kf8d8xketsn03,,,2026-04-06T03:29:31.772Z,2026-04-06T03:30:09.035Z,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79svx000ef854zezvp9zj,,,,,,,,,,,Auto-routed by city (Sibunag) for 2026-04-07. Sequence nearest-to-farthest from warehouse.,,,,,,,IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,cmnlvtway000gf87s0s1olmt0,,TRP-2026-0002,Main Distribution Center,40.7328,-74.1745,,,,,,,2026-04-06T03:29:31.755Z,,2026-04-06T03:29:48.873Z,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
